observation_date,avg_us_housing,unemployment_rate,pop_in_thousands,layoffs_and_discharges,hires,total_cases,median_new_cases,total_covid_deaths,median_new_deaths,positive_rate,total_vaccinations,people_fully_vaccinated,working_age_population,initial_claims
1/1/2001,135714,4.2,283960,2220,5722,0,0,0,0,0,0,0,180406427.5,353000
2/1/2001,136448,4.2,284166,1855,5303,0,0,0,0,0,0,0,180565764.4,340000
3/1/2001,137194,4.3,284380,2133,5528,0,0,0,0,0,0,0,180629968.9,370500
4/1/2001,137991,4.4,284602,1883,5204,0,0,0,0,0,0,0,180904789.2,388000
5/1/2001,138812,4.3,284834,2029,5410,0,0,0,0,0,0,0,181014919.9,399000
6/1/2001,139617,4.5,285076,2015,5109,0,0,0,0,0,0,0,181362779.2,396000
7/1/2001,140428,4.6,285324,2038,5244,0,0,0,0,0,0,0,181621127.5,394000
8/1/2001,141267,4.9,285584,2011,5223,0,0,0,0,0,0,0,181838606.1,399500
9/1/2001,142098,5,285842,2107,4954,0,0,0,0,0,0,0,182055030.3,398000
10/1/2001,142934,5.3,286086,2319,5078,0,0,0,0,0,0,0,182238240,408000
11/1/2001,143699,5.5,286315,2255,4914,0,0,0,0,0,0,0,182437232.1,482000
12/1/2001,144431,5.7,286533,1922,4829,0,0,0,0,0,0,0,182643504.6,435500
1/1/2002,145098,5.7,286739,1907,4855,0,0,0,0,0,0,0,182562149.5,416000
2/1/2002,145794,5.7,286935,1978,4801,0,0,0,0,0,0,0,182789311,409500
3/1/2002,146529,5.7,287131,1883,4706,0,0,0,0,0,0,0,183086215,397000
4/1/2002,147306,5.9,287343,1956,4928,0,0,0,0,0,0,0,183254275.5,399000
5/1/2002,148134,5.8,287571,1967,4857,0,0,0,0,0,0,0,183508405.3,429000
6/1/2002,149006,5.8,287808,2015,4869,0,0,0,0,0,0,0,183679729.3,410000
7/1/2002,149950,5.8,288051,2102,4946,0,0,0,0,0,0,0,183890761.6,388000
8/1/2002,150937,5.7,288303,1923,4871,0,0,0,0,0,0,0,184167439.4,387000
9/1/2002,151914,5.7,288554,2022,4879,0,0,0,0,0,0,0,184414471.1,394000
10/1/2002,152895,5.7,288794,1935,4798,0,0,0,0,0,0,0,184550472.8,410500
11/1/2002,153819,5.9,289012,1944,4792,0,0,0,0,0,0,0,184750740.7,407000
12/1/2002,154741,6,289214,2007,4893,0,0,0,0,0,0,0,184859264.9,390000
1/1/2003,155583,5.8,289412,2109,5058,0,0,0,0,0,0,0,185629170.7,417000
2/1/2003,156440,5.9,289606,2015,4714,0,0,0,0,0,0,0,185863247,397500
3/1/2003,157320,5.9,289809,1949,4470,0,0,0,0,0,0,0,186088676.7,416500
4/1/2003,158271,6,290024,1998,4600,0,0,0,0,0,0,0,186472841.3,430000
5/1/2003,159288,6.1,290250,2072,4678,0,0,0,0,0,0,0,186655396.8,439000
6/1/2003,160302,6.3,290484,2076,4682,0,0,0,0,0,0,0,186810095.7,425000
7/1/2003,161360,6.2,290726,2062,4639,0,0,0,0,0,0,0,187071183.1,425000
8/1/2003,162478,6.1,290974,2162,4666,0,0,0,0,0,0,0,187311277.3,407500
9/1/2003,163660,6.1,291222,1932,4799,0,0,0,0,0,0,0,187534522.1,401000
10/1/2003,164841,6,291463,1969,4902,0,0,0,0,0,0,0,187734876.2,390500
11/1/2003,165908,5.8,291677,1951,4767,0,0,0,0,0,0,0,187976166.7,382500
12/1/2003,166927,5.7,291868,2007,4984,0,0,0,0,0,0,0,188131030.3,363000
1/1/2004,167941,5.7,292046,2037,4900,0,0,0,0,0,0,0,187682928.7,358500
2/1/2004,169106,5.6,292230,1985,4788,0,0,0,0,0,0,0,187875852.1,356000
3/1/2004,170407,5.8,292434,2065,5227,0,0,0,0,0,0,0,188055633.6,357500
4/1/2004,171829,5.6,292651,2010,5152,0,0,0,0,0,0,0,188322397.4,342000
5/1/2004,173402,5.6,292872,1914,4976,0,0,0,0,0,0,0,188485513.1,347000
6/1/2004,175076,5.6,293103,1887,5009,0,0,0,0,0,0,0,188694050.7,337000
